,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Тип двигателя,"Размах крыльев, м",Статус,Производитель,"Полезная нагрузка, кг",Диапазон рабочих температур,"Макс. скорость, км/ч"
1250,Китай,Коптерный тип,,0.92,1.5,250.0,Электрический,,В производстве,Viga Aviation Communication Science and Technology Co,11.5,н/д,25.0
1251,Китай,Самолетный тип,,2.0,180.0,4100.0,ДВС,3.3,В производстве,Viga Aviation Communication Science and Technology Co,2.0,н/д,120.0
1252,Китай,Самолетный тип,,,100.0,3100.0,ДВС,,В производстве,UAV Sci-Tech Co,,н/д,120.0
1253,Китай,Самолетный тип,7.5,2.0,30.0,2100.0,ДВС,2.1,В производстве,UAV Sci-Tech Co,1.4,н/д,120.0
1254,Китай,Вертолетный тип,,0.75,1.5,250.0,ДВС,,В производстве,Tian-Zi-Yi Aviation Technology Co,,н/д,30.0
1255,Китай,Вертолетный тип,,,1.5,250.0,ДВС,,В производстве,Tian-Zi-Yi Aviation Technology Co,,н/д,45.0
1256,Китай,Вертолетный тип,,,20.0,3100.0,ДВС,,В производстве,Tian-Zi-Yi Aviation Technology Co,,н/д,90.0
1257,Китай,Самолетный тип,38.0,12.0,1500.0,4100.0,ДВС,,В производстве,Tian-Zi-Yi Aviation Technology Co,6.0,н/д,220.0
1258,Китай,Вертолетный тип,,,10.0,2100.0,ДВС,,В производстве,Tian-Zi-Yi Aviation Technology Co,,н/д,70.0
1259,Китай,Вертолетный тип,,1.0,15.0,2100.0,ДВС,,В производстве,Tian-Zi-Yi Aviation Technology Co,,н/д,80.0
1260,Китай,Вертолетный тип,,1.0,20.0,2100.0,ДВС,,В производстве,Tian-Zi-Yi Aviation Technology Co,,н/д,80.0
1261,Китай,Самолетный тип,700.0,14.0,2000.0,5100.0,ДВС,12.4,В производстве,UVS Intelligence Systems Co,,н/д,180.0
1262,Китай,Коптерный тип,,,1.0,250.0,Электрический,,В производстве,Tian-Tu Aviation Technology Development Co,,н/д,30.0
1263,Китай,Коптерный тип,,0.83,2.5,250.0,Электрический,,В производстве,Tian-Tu Aviation Technology Development Co,,н/д,65.0
1264,Китай,Коптерный тип,,,2.5,250.0,Электрический,,В производстве,Tian-Tu Aviation Technology Development Co,,н/д,65.0
1265,Китай,Коптерный тип,0.4,,1.0,100.0,Электрический,,В производстве,Университет Цинхуа,,н/д,25.0
1266,Китай,Вертолетный тип,30.0,1.0,5.0,1200.0,Электрический,,В производстве,TTRobotix,,н/д,80.0
1267,Китай,Самолетный тип,100.0,10.0,100.0,5100.0,ДВС,4.6,В производстве,Tian-Tu Aviation Technology Development Co,,н/д,140.0
1268,Китай,Самолетный тип,,,100.0,4600.0,ДВС,3.4,В производстве,Tian-Tu Aviation Technology Development Co,,н/д,140.0
1269,Китай,Самолетный тип,,,300.0,3100.0,ДВС,2.7,В производстве,Tian-Tu Aviation Technology Development Co,,н/д,140.0
1270,Китай,Самолетный тип,,6.0,250.0,5100.0,ДВС,5.0,В производстве,Tian-Tu Aviation Technology Development Co,,н/д,140.0
1271,Китай,Самолетный тип,,1.5,40.0,4100.0,ДВС,2.6,В производстве,Tian-Tu Aviation Technology Development Co,,н/д,90.0
1272,Китай,Вертолетный тип,,1.0,40.0,2100.0,ДВС,,В производстве,Tian-Tu Aviation Technology Development Co,,н/д,80.0
1273,Китай,Коптерный тип,,,2.0,250.0,Электрический,,В производстве,Tian-Tu Aviation Technology Development Co,,н/д,30.0
1274,Китай,Самолетный тип,,,70.0,4000.0,ДВС,3.28,В производстве,Bejing Trifeet Aero Electronics Co,,н/д,150.0
1275,Китай,Самолетный тип,,8.0,70.0,4000.0,ДВС,3.28,В производстве,Bejing Trifeet Aero Electronics Co,,н/д,150.0
1276,Китай,Вертолетный тип,,0.92,20.0,3100.0,ДВС,,В производстве,Toaero Science and Technology Co,13.0,−20°C..+50 °C,110.0
1277,Китай,Вертолетный тип,90.0,2.0,100.0,1500.0,ДВС,,В производстве,Toaero Science and Technology Co,25.0,н/д,100.0
1278,Китай,Вертолетный тип,250.0,4.0,200.0,1500.0,ДВС,,В производстве,Toaero Science and Technology Co,,н/д,150.0
1279,Китай,Коптерный тип,5.2,0.25,1.0,1200.0,Электрический,,В производстве,Toaero Science and Technology Co,,н/д,36.0
1280,Китай,Коптерный тип,4.2,0.67,2.0,1200.0,Электрический,,В производстве,Toaero Science and Technology Co,,н/д,36.0
1281,Китай,Коптерный тип,10.35,0.83,2.0,350.0,Электрический,,В производстве,Toaero Science and Technology Co,,н/д,36.0
1282,Китай,Самолетный тип,6.0,,20.0,2100.0,Электрический,3.0,В производстве,Университет Тунцзи,,н/д,120.0
1283,Китай,Самолетный тип,,1.5,10.0,3100.0,Электрический,2.2,Снято с производства,Университет Тунцзи,,н/д,90.0
1284,Китай,Коптерный тип,,,1.0,250.0,Электрический,,В производстве,Top Soaring New Technology Co,,н/д,20.0
1285,Китай,Коптерный тип,,,5.0,1200.0,Электрический,,В производстве,Top Soaring New Technology Co,,н/д,54.0
1286,Китай,Коптерный тип,5.5,0.67,20.0,350.0,Электрический,,В производстве,Oriental Titan,,н/д,65.0
1287,Китай,Самолетный тип,4.5,2.0,10.0,4500.0,Электрический,,В производстве,Oriental Titan,,н/д,120.0
1288,Китай,Коптерный тип,1.54,,2.5,300.0,Электрический,,В производстве,AheadX,,н/д,60.0
1289,Китай,Вертолетный тип,40.0,,20.0,3100.0,Газотурбинный,,В производстве,Тяньцзиньский университет,,н/д,120.0
1290,Китай,Вертолетный тип,11.5,,15.0,1000.0,Электрический,,В производстве,Тяньцзиньский университет,,н/д,200.0
1291,Китай,Вертолетный тип,250.0,,200.0,2100.0,ДВС,,Снято с производства,Zhong Hang Zhi Technology,,н/д,120.0
1292,Китай,Коптерный тип,18.0,,2.0,2000.0,Электрический,,В производстве,Sky Wing General Aviation Science and Technology Service,10.0,н/д,55.0
1293,Китай,Коптерный тип,23.0,,40.0,4100.0,Электрический,,В производстве,н/д,,н/д,150.0
1294,Китай,Вертолетный тип,15.0,,2.5,250.0,ДВС,,Снято с производства,SS Model,,н/д,60.0
1295,Китай,Коптерный тип,1.8,,1.5,250.0,Электрический,,В производстве,SIASUN,,н/д,40.0
1296,Китай,Коптерный тип,12.0,0.25,1.0,150.0,Электрический,,В производстве,SIASUN,,н/д,35.0
1297,Китай,Вертолетный тип,120.0,1.5,42.0,3100.0,ДВС,,В производстве,SIASUN,,н/д,120.0
1298,Китай,Коптерный тип,0.42,0.12,0.03,30.0,Электрический,,В производстве,Syma,,н/д,30.0
1299,Китай,Вертолетный тип,300.0,,250.0,3000.0,ДВС,,В производстве,NORINCO,,н/д,160.0
1300,Китай,Самолетный тип,,,7500.0,15000.0,Газотурбинный,32.0,В производстве,н/д,,н/д,850.0
1301,Китай,Вертолетный тип,,,250.0,3100.0,Газотурбинный,,В производстве,NORINCO,,н/д,150.0
1302,Китай,Самолетный тип,,8.0,250.0,4100.0,ДВС,,В производстве,State Grid Corporation of China,,н/д,120.0
1303,Китай,Коптерный тип,,,1.0,150.0,Электрический,,В производстве,State Grid Corporation of China,,н/д,30.0
1304,Китай,Коптерный тип,,,2.0,100.0,Электрический,,В производстве,Shun-Feng Express Delivery,,н/д,30.0
1305,Китай,Вертолетный тип,25.0,1.0,42.0,2100.0,ДВС,,В производстве,Шеньянский институт автоматизации,5.0,н/д,80.0
1306,Китай,Вертолетный тип,120.0,1.5,20.0,1000.0,Электрический,,В производстве,Шеньянский институт автоматизации,,н/д,120.0
1307,Китай,Вертолетный тип,40.0,1.0,5.0,1000.0,ДВС,,В производстве,Шеньянский институт автоматизации,15.0,н/д,100.0
1308,Китай,Коптерный тип,10.0,,1.5,500.0,Электрический,,В производстве,Академия Шаньдун,,н/д,36.0
1309,Китай,Вертолетный тип,,4.0,30.0,2100.0,ДВС,,В производстве,Южно-Китайский технологический университет,,н/д,90.0
1310,Китай,Самолетный тип,,8.0,500.0,5100.0,ДВС,,В производстве,UVS Intelligence Systems Co,,н/д,150.0
1311,Китай,Коптерный тип,15.0,0.75,2.5,1000.0,Электрический,,В производстве,Rui-Tu Wan-Fang Science and Technology Co,,н/д,36.0
1312,Китай,Коптерный тип,1.1,,2.5,500.0,Электрический,,В производстве,Rui-Tu Wan-Fang Science and Technology Co,,н/д,30.0
1313,Китай,Самолетный тип,210.0,7.0,200.0,4600.0,ДВС,,В производстве,China National Precision Machinery Import & export Corp,,н/д,160.0
1314,Китай,Вертолетный тип,,1.33,20.0,1200.0,ДВС,,В производстве,Oriental Titan Science and Technology,,н/д,70.0
1315,Китай,Самолетный тип,,2.5,150.0,3600.0,ДВС,,В производстве,Северо-западный политехнический университет КНР,,н/д,140.0
1316,Китай,Вертолетный тип,250.0,,42.0,3100.0,ДВС,,В производстве,Народный институт вооружения полиции КНР,,н/д,120.0
1317,Китай,Вертолетный тип,,2.0,100.0,2100.0,ДВС,,В производстве,Нанкинский университет науки и технологий,,н/д,100.0
1318,Китай,Самолетный тип,16.8,,100.0,3600.0,ДВС,3.01,В производстве,Нанкинский университет науки и технологий,,н/д,120.0
1319,Китай,Коптерный тип,2.5,,2.0,250.0,Электрический,,В производстве,Нанкинский университет науки и технологий,,н/д,36.0
1320,Китай,Самолетный тип,3.5,0.67,10.0,3100.0,Электрический,1.8,В производстве,Нанкинский университет науки и технологий,,н/д,80.0
1321,Китай,Самолетный тип,,1.5,20.0,3600.0,Электрический,,В производстве,Нанкинский университет аэронавтики и астронавтики,,н/д,110.0
1322,Китай,Коптерный тип,,0.67,1.5,150.0,Электрический,,В производстве,Нантонгский профессиональний университет,,н/д,40.0
1323,Китай,Вертолетный тип,,,42.0,4100.0,ДВС,,В производстве,Нанкинский научно-исследовательский университет симуляционных технологий,,н/д,140.0
1324,Китай,Вертолетный тип,50.0,,5.0,250.0,ДВС,,В производстве,Исследовательский институт сельскохозяйственного машиностроения города Нанкин,,н/д,50.0
1325,Китай,Вертолетный тип,,,2.0,150.0,ДВС,,В производстве,Исследовательский институт сельскохозяйственного машиностроения города Нанкин,,н/д,50.0
1326,Китай,Коптерный тип,,0.5,20.0,500.0,Электрический,,В производстве,NORINCO,,н/д,40.0
1327,Китай,Самолетный тип,,3.0,,4100.0,ДВС,2.6,В производстве,North Navigation Control Technology Co,,н/д,130.0
1328,Китай,Самолетный тип,100.0,4.0,100.0,4100.0,ДВС,4.0,В производстве,Nanjing Unmanned Aerial Vehicle Co,20.0,н/д,180.0
1329,Китай,Самолетный тип,25.0,2.0,40.0,3100.0,Электрический,2.8,В производстве,Nanjing Unmanned Aerial Vehicle Co,3.5,н/д,80.0
1330,Китай,Самолетный тип,35.0,2.0,20.0,4100.0,ДВС,3.0,В производстве,Nanjing Unmanned Aerial Vehicle Co,3.0,н/д,150.0
1331,Китай,Самолетный тип,,,15.0,4100.0,ДВС,2.8,В производстве,Университет Наньчан Ханьконг,,н/д,155.0
1332,Китай,Коптерный тип,,0.67,2.5,1000.0,Электрический,,В производстве,Университет Наньчан Ханьконг,,н/д,45.0
1333,Китай,Самолетный тип,,,100.0,9100.0,Газотурбинный,,Снято с производства,NAV Technology Co,,н/д,650.0
1334,Китай,Самолетный тип,,4.0,140.0,7100.0,Газотурбинный,,Снято с производства,NAV Technology Co,,н/д,
1335,Китай,Коптерный тип,,0.67,2.0,500.0,Электрический,,В производстве,Nanning Hui-Shi Science and Technology Co,,н/д,54.0
1336,Китай,Самолетный тип,1.2,,20.0,300.0,Электрический,0.98,В производстве,Nanning Hui-Shi Science and Technology Co,,н/д,75.0
1337,Китай,Самолетный тип,,,100.0,3500.0,ДВС,,В производстве,Mei-Lian Aviation Technology Co,,н/д,135.0
1338,Китай,Вертолетный тип,22.0,0.5,2.5,150.0,ДВС,,Снято с производства,Minghe Crop Dusting,,н/д,20.0
1339,Китай,Самолетный тип,35.0,6.0,30.0,3600.0,ДВС,3.8,В производстве,Microfly Engineering Technology Co,,н/д,140.0
1340,Китай,Самолетный тип,,1.5,20.0,4000.0,Электрический,,В производстве,Meiya Pico Information Technology Co,,н/д,75.0
1341,Китай,Самолетный тип,,1.0,20.0,4100.0,ДВС,,В производстве,Университет Наньчан Ханьконг,,н/д,110.0
1342,Китай,Коптерный тип,3.0,,0.5,100.0,Электрический,,В производстве,Meiya Pico Information Technology Co,,н/д,35.0
1343,Китай,Самолетный тип,5.0,,20.0,4100.0,Электрический,1.7,В производстве,Meiya Pico Information Technologies Co,,н/д,110.0
1344,Китай,Коптерный тип,13.5,0.58,5.0,2100.0,Электрический,,В производстве,DJI,,н/д,65.0
1345,Китай,Вертолетный тип,380.0,5.0,40.0,2100.0,ДВС,,В производстве,Пекинский университет аэронавтики и астронавтики,,н/д,130.0
1346,Китай,Вертолетный тип,300.0,,40.0,1500.0,ДВС,,В производстве,Пекинский университет аэронавтики и астронавтики,,н/д,140.0
1347,Китай,Самолетный тип,2000.0,,2000.0,9100.0,Газотурбинный,18.0,В производстве,н/д,,н/д,800.0
1348,Китай,Вертолетный тип,30.0,0.25,5.0,250.0,ДВС,,В производстве,Hanhe Aviation,,н/д,45.0
1349,Китай,Вертолетный тип,35.0,0.5,10.0,250.0,ДВС,,В производстве,Hanhe Aviation,,н/д,50.0
1350,Китай,Вертолетный тип,240.0,2.0,100.0,4100.0,ДВС,,В производстве,Hexiang General Aviation Technology Co,,н/д,130.0
1351,Китай,Самолетный тип,2.2,0.83,2.0,500.0,Электрический,1.1,В производстве,Long Technology Co,,н/д,80.0
1352,Китай,Самолетный тип,27.0,4.0,100.0,5100.0,ДВС,3.16,В производстве,Hanglong Kexun Electronics Technology Co,,н/д,150.0
1353,Китай,Самолетный тип,25.0,5.0,250.0,4100.0,ДВС,2.65,В производстве,Guo-Yao-Bo-Cheng Technology Co,,н/д,130.0
1354,Китай,Самолетный тип,8.0,,70.0,2100.0,Электрический,,В производстве,Zhong-Hai-Da Satelite Navigation Technology Co,,н/д,120.0
1355,Китай,Вертолетный тип,1.2,,2.5,150.0,Электрический,,В производстве,Idea-Fly Science and Technology,,н/д,30.0
1356,Китай,Вертолетный тип,,,10.0,500.0,ДВС,,В производстве,JS Model,12.0,н/д,70.0
1357,Китай,Самолетный тип,34.5,4.0,100.0,4600.0,ДВС,3.2,В производстве,Hanglong Kexun Electronics Technology Co,,н/д,120.0
1358,Китай,Самолетный тип,,40.0,500.0,8000.0,ДВС,21.0,В производстве,Harbin Aircraft Industry,,н/д,180.0
1359,Китай,Вертолетный тип,36.0,,2.0,250.0,ДВС,,В производстве,Hawk-Hel Aviation Equipment Co,10.0,н/д,45.0
1360,Китай,Вертолетный тип,24.0,0.67,2.0,250.0,ДВС,,В производстве,Hawk-Hel Aviation Equipment Co,5.0,н/д,40.0
1361,Китай,Коптерный тип,,0.33,1.0,250.0,Электрический,,В производстве,Hawk-Hel Aviation Equipment Co,20.0,н/д,35.0
1362,Китай,Коптерный тип,25.0,0.17,1.0,150.0,Электрический,,В производстве,Hawk-Hel Aviation Equipment Co,10.0,н/д,35.0
1363,Индия,Коптерный тип,7.0,,10.0,700.0,Электрический,,В производстве,н/д,,н/д,40.0
1364,Индия,Самолетный тип,120.0,0.67,250.0,10000.0,Газотурбинный,,В производстве,Defeat Research and Development Organization,,н/д,900.0
1365,Индия,Коптерный тип,2.25,0.5,2.5,500.0,Электрический,,В производстве,Defense Research and Development Organization,,н/д,30.0
1366,Индия,Самолетный тип,1800.0,,100.0,5100.0,ДВС,,В производстве,Defense Research and Development Organization,,н/д,210.0
1367,Индия,Самолетный тип,2.5,,15.0,5000.0,Электрический,1.6,В производстве,Defense Research and Development Organization,,н/д,90.0
1368,"Израиль, Индия",Вертолетный тип,2200.0,6.0,150.0,5000.0,Газотурбинный,,В производстве,"Hindustan Aeronautics Limited, Israel Aerospace Industries",220.0,н/д,180.0
1369,Индия,Самолетный тип,3.0,1.0,10.0,5000.0,Электрический,1.6,В производстве,National Aerospace Laboratories,,н/д,60.0
1370,Индия,Самолетный тип,1.5,,2.0,1000.0,Электрический,0.3,В производстве,"Aeronautical Development Establishment, National Aerospace Laboratories",,н/д,50.0
1371,Индия,Самолетный тип,1.25,0.67,2.0,300.0,Электрический,0.3,В производстве,"Aeronautical Development Establishment, National Aerospace Laboratories",,н/д,55.0
1372,Индия,Самолетный тип,,1.5,42.0,5100.0,Электрический,,В производстве,CSIR-NAL,,н/д,120.0
1373,Индонезия,Самолетный тип,18.0,5.0,450.0,3000.0,ДВС,2.4,В производстве,Национальный институт аэронавтики и космоса,,н/д,100.0
1374,Индонезия,Самолетный тип,48.0,6.0,600.0,5100.0,ДВС,3.5,В производстве,Национальный институт аэронавтики и космоса,,н/д,150.0
1375,Индонезия,Самолетный тип,25.0,,500.0,4100.0,ДВС,3.2,В производстве,Национальный институт аэронавтики и космоса,,н/д,120.0
1376,Индонезия,Самолетный тип,8.5,,70.0,4500.0,ДВС,3.0,В производстве,Badan Penarapan dan Pengkajian Teknologi,,н/д,75.0
1377,Индонезия,Самолетный тип,27.0,6.0,10.0,4500.0,ДВС,3.4,В производстве,Badan Penarapan dan Pengkajian Teknologi,,н/д,110.0
1378,Индонезия,Самолетный тип,21.5,,42.0,3100.0,ДВС,3.2,В производстве,Rajawali,,н/д,120.0
1379,Индонезия,Вертолетный тип,150.0,,120.0,4200.0,ДВС,,В производстве,Rajawali,,н/д,145.0
1380,Великобритания,Вертолетный тип,58.0,6.0,25.0,2100.0,Электрический,,В производстве,advanced UAV Technology,,н/д,160.0
1381,Великобритания,Вертолетный тип,350.0,6.0,200.0,3500.0,Газотурбинный,,В производстве,advanced UAV Technology,,н/д,160.0
1382,Великобритания,Самолетный тип,150.0,,100.0,7000.0,Газотурбинный,5.2,В производстве,BAE Systems,,н/д,350.0
1383,Великобритания,Самолетный тип,70.0,,50.0,4600.0,ДВС,5.0,В производстве,Barnard Microsystems,,н/д,150.0
1384,Великобритания,Самолетный тип,5.0,,5.0,1000.0,Электрический,1.5,В производстве,Blue Bear Systems,,н/д,75.0
1385,Великобритания,Коптерный тип,3.0,,7.0,250.0,Электрический,,В производстве,н/д,,н/д,50.0
1386,Великобритания,Самолетный тип,20.0,0.75,50.0,6100.0,ДВС,2.2,В производстве,Meggit Defence Systems,,н/д,200.0
1387,Великобритания,Самолетный тип,,,50.0,2100.0,Электрический,,В разработке,Neva Aerospace,,н/д,100.0
1388,Великобритания,Самолетный тип,3060.0,,1120.0,7700.0,ДВС,11.89,Снято с производства,Miles,,н/д,386.0
1389,Великобритания,Самолетный тип,40.0,,75.0,5000.0,ДВС,2.8,В производстве,Universal Target Systems Limited,,н/д,180.0
1390,Великобритания,Коптерный тип,,0.83,2.5,350.0,Электрический,,В производстве,Neva Aerospace,,н/д,45.0
1391,Великобритания,Самолетный тип,4500.0,,1500.0,10000.0,Газотурбинный,,В разработке,н/д,,н/д,850.0
1392,Великобритания,Самолетный тип,16.0,5.0,200.0,4100.0,ДВС,2.4,В производстве,Warrior,,н/д,120.0
1393,Великобритания,Коптерный тип,40.0,,3.5,1000.0,Электрический,,В производстве,Vulcan UAV,,н/д,50.0
1394,Великобритания,Самолетный тип,20.0,2.0,20.0,3600.0,Электрический,,В производстве,Universal Target Systems Limited,,н/д,90.0
1395,Великобритания,Самолетный тип,14.0,0.5,42.0,4100.0,ДВС,2.21,В производстве,Universal Target Systems Limited,,н/д,180.0
1396,Великобритания,Коптерный тип,3.5,2.0,60.0,2100.0,Электрический,,В разработке,VTOL Technologies,,н/д,150.0
1397,Великобритания,Самолетный тип,70.0,,150.0,4500.0,ДВС,3.0,В производстве,UnKnown Aerospace,,н/д,120.0
1398,США,Самолетный тип,1200.0,,2800.0,15000.0,Газотурбинный,6.7,В производстве,Kratos Defense and Security Solutions,,н/д,920.0
1399,США,Коптерный тип,0.25,,0.1,60.0,Электрический,,н/д,Odyssey Toys,,н/д,25.0
1400,США,Самолетный тип,160.0,10.0,250.0,4600.0,ДВС,6.1,В производстве,L-3 Unmanned Systems,,н/д,160.0
1401,США,Самолетный тип,144.0,,200.0,4600.0,ДВС,5.34,В производстве,L-3 Unmanned Systems,,н/д,125.0
1402,США,Самолетный тип,2.8,0.67,5.0,1000.0,Электрический,,В производстве,Vera Tech,,н/д,60.0
1403,США,Вертолетный тип,10.0,0.75,15.0,2100.0,Электрический,,В производстве,Juniper Unmanned,,н/д,75.0
1404,США,Самолетный тип,14.6,,200.0,4600.0,ДВС,,В производстве,Vanilla Aircraft,,н/д,120.0
1405,США,Вертолетный тип,26.0,,24.0,2100.0,ДВС,,В производстве,Vanguard Defense Industries,,н/д,90.0
1406,США,Самолетный тип,,10.0,250.0,7100.0,Электрический,13.1,В производстве,Luminati Aerospace,,н/д,120.0
1407,США,Самолетный тип,,2.5,2100.0,17000.0,Газотурбинный,3.2,В производстве,Kratos Defense and Security Solutions,250.0,н/д,950.0
1408,США,Самолетный тип,8.5,3.5,75.0,3500.0,Электрический,3.05,В производстве,UASUSA,,н/д,85.0
1409,США,Самолетный тип,0.957,,10.0,3600.0,Электрический,0.86,В производстве,Irvine Sensor Corp,,н/д,65.0
1410,США,Самолетный тип,5.2,,50.0,4100.0,Электрический,2.3,Снято с производства,UASUSA,,н/д,100.0
1411,США,Самолетный тип,485.0,,925.0,3900.0,ДВС,,В производстве,Trek Aerospace,,н/д,378.0
1412,США,Самолетный тип,144.0,10.0,150.0,4100.0,ДВС,5.33,В производстве,L-3 Unmanned Systems,,н/д,120.0
1413,США,Самолетный тип,3.0,0.5,15.0,3100.0,Электрический,0.48,В производстве,Textron Defense Systems,,н/д,80.0
1414,США,Самолетный тип,159.0,,100.0,15000.0,Газотурбинный,1.5,Снято с производства,Temco Aircraft,,н/д,980.0
1415,США,Самолетный тип,1130.0,,2250.0,16100.0,Газотурбинный,3.35,Снято с производства,Teledyne Ryan,,н/д,970.0
1416,США,Самолетный тип,1200.0,48.0,600.0,5100.0,ДВС,9.45,Снято с производства,Teledyne Ryan,,н/д,180.0
1417,США,Самолетный тип,1785.0,1.5,600.0,4100.0,ДВС,11.0,Снято с производства,Taylorcraft,,н/д,400.0
1418,США,Коптерный тип,0.75,,0.5,20.0,Электрический,,В производстве,Sunflower Labs,,н/д,18.0
1419,США,Самолетный тип,2.0,,55.0,150.0,Электрический,1.14,В производстве,AeroMech Engineering Inc,,н/д,120.0
1420,США,Самолетный тип,15.8,10.0,100.0,4100.0,ДВС,2.6,В производстве,MLB Co,,н/д,100.0
1421,США,Самолетный тип,1815.0,30.0,185.0,7320.0,ДВС,,Снято с производства,Proxy Aviation Systems Inc,,н/д,324.0
1422,США,Коптерный тип,12.0,4.5,250.0,1000.0,ДВС,,В производстве,Skyfront,,н/д,56.0
1423,США,Вертолетный тип,11.5,0.5,25.0,2100.0,Электрический,,Снято с производства,Guided Systems Technologies,,н/д,70.0
1424,США,Вертолетный тип,38.5,2.5,50.0,3000.0,ДВС,,В производстве,Guided Systems Technologies,,н/д,120.0
1425,США,Вертолетный тип,277.0,,250.0,2000.0,ДВС,,В производстве,Guided Systems Technologies,,н/д,140.0
1426,США,Самолетный тип,1.2,1.0,20.0,1200.0,Электрический,,В производстве,Sentera,,н/д,100.0
1427,США,Коптерный тип,2.8,0.67,2.0,250.0,Электрический,,В производстве,Sentera,,н/д,36.0
1428,США,Самолетный тип,30.0,1.5,70.0,5000.0,Электрический,1.98,В производстве,Advanced Intelligent Reconnaissance Systems,,н/д,150.0
1429,США,Самолетный тип,16.0,2.0,150.0,4600.0,ДВС,4.5,В производстве,"Northrop Grumman, UAVs System Inc",,н/д,185.0
1430,США,Самолетный тип,82.0,0.5,120.0,9100.0,Газотурбинный,0.72,В производстве,Meggitt Defence Systems,,н/д,740.0
1431,США,Самолетный тип,91.0,,150.0,7620.0,Газотурбинный,1.5,В производстве,AeroMech Engineering Inc,,н/д,740.0
1432,США,Самолетный тип,645.0,,500.0,4100.0,Газотурбинный,,Снято с производства,Boeing,,н/д,250.0
1433,США,Самолетный тип,4000.0,,2000.0,11000.0,Газотурбинный,12.0,В разработке,Boeing,,н/д,950.0
1434,США,Самолетный тип,,,800.0,3600.0,Газотурбинный,,В разработке,Karem Aircraft Inc,,н/д,520.0
1435,США,Самолетный тип,550.0,,520.0,4500.0,ДВС,10.0,В производстве,Sonex Aircraft,,н/д,185.0
1436,США,Самолетный тип,815.0,0.42,150.0,5200.0,Газотурбинный,4.38,Снято с производства,Radioplane,,н/д,555.0
1437,США,Самолетный тип,475.0,1.0,160.0,14300.0,Газотурбинный,4.66,Снято с производства,Radioplane,,н/д,685.0
1438,США,Самолетный тип,185.0,,330.0,7000.0,ДВС,3.5,Снято с производства,"Northrop Grumman, Radioplane",,н/д,325.0
1439,США,Самолетный тип,15.0,,200.0,4100.0,ДВС,2.93,н/д,Quaternion Aerospace,,н/д,120.0
1440,США,Самолетный тип,12.0,11.0,200.0,4600.0,ДВС,3.2,Снято с производства,Quaternion Aerospace,,н/д,140.0
1441,США,Самолетный тип,22.0,15.0,150.0,5100.0,ДВС,3.12,Снято с производства,Insitu Inc.,,н/д,145.0
1442,США,Самолетный тип,180.0,,126.0,10500.0,Газотурбинный,1.55,Снято с производства,Brunswick Corporation,,н/д,790.0
1443,США,Коптерный тип,9.0,,120.0,600.0,Электрический,,Снято с производства,Reference Technologies,,н/д,60.0
1444,США,Вертолетный тип,5.0,,5.0,150.0,Электрический,,В производстве,Adaptive Flight,,н/д,80.0
1445,США,Вертолетный тип,4.2,,3.0,150.0,Электрический,,В производстве,Adaptive Flight,,н/д,70.0
1446,США,Вертолетный тип,8.1,,6.0,150.0,Электрический,,н/д,Adaptive Flight,,н/д,90.0
1447,США,Самолетный тип,136.0,,100.0,4500.0,Электрический,3.1,В производстве,Griffon Aerospace,,н/д,180.0
1448,США,Самолетный тип,,,70.0,5100.0,ДВС,3.1,В производстве,Griffon Aerospace,,н/д,250.0
1449,США,Самолетный тип,,,50.0,5000.0,ДВС,3.5,В производстве,Griffon Aerospace,,н/д,200.0
1450,США,Коптерный тип,1.0,,3.0,3000.0,Электрический,,В производстве,GoPro,,н/д,54.0
1451,США,Самолетный тип,25.0,,40.0,2100.0,Электрический,,В производстве,Google,,н/д,150.0
1452,США,Самолетный тип,,,40.0,1200.0,Электрический,,В разработке,Google,,н/д,100.0
1453,США,Самолетный тип,170.0,,25.0,4100.0,ДВС,3.1,Снято с производства,Globe Aircraft Corporation,,н/д,250.0
1454,США,Самолетный тип,50.0,,250.0,12000.0,Газотурбинный,1.5,Снято с производства,Колорадский университет,,н/д,1500.0
1455,США,Коптерный тип,2.0,,20.0,2100.0,Электрический,,В производстве,Matternet,,н/д,50.0
1456,США,Самолетный тип,405.0,,1140.0,30430.0,ДВС,1.16,Снято с производства,Martin Marietta,,н/д,27000.0
1457,США,Самолетный тип,145.0,0.67,50.0,4100.0,Газотурбинный,3.7,Снято с производства,McDonnell Aircraft,,н/д,400.0
1458,США,Коптерный тип,,0.5,10.0,150.0,Электрический,,В разработке,Malloy Aeronautics,,н/д,75.0
1459,США,Самолетный тип,2405.0,24.0,250.0,15240.0,Газотурбинный,17.37,Снято с производства,Ling-Temco-Vought,,н/д,200.0
1460,США,Самолетный тип,1360.0,24.0,250.0,4600.0,ДВС,8.14,В производстве,L-3 Unmanned Systems,,н/д,140.0
1461,США,Самолетный тип,2.5,0.83,20.0,300.0,Электрический,0.86,В производстве,Robota,,н/д,100.0
1462,США,Самолетный тип,,,2400.0,30000.0,Электрический,,В разработке,Национальное аэрокосмическое агентство,,н/д,120.0
1463,США,Самолетный тип,15100.0,,3500.0,12000.0,Газотурбинный,40.0,Снято с производства,Оборонное агентство перспективных исследований,,н/д,600.0
1464,США,Самолетный тип,,9.0,500.0,4100.0,Электрический,,В разработке,Latitude Engineering,,н/д,130.0
